timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1785340219.661631,-3.68597,2.22903,-2.25457,0.156031,0.528958,-0.0328019,0.0755859,0.500105,-0.362726,-0.691604,0.104502,-0.0386265,0.713632,0.0677819,0.473941,0.0403978,-0.437097,0.0660995,0.0132391,0.896884,0.00229209,0.412109,-0.426001,0.0394506,0.0034406,0.626299,0.778576,
1785340219.671726,-3.73084,2.16403,-2.2219,0.155254,0.529179,-0.0331419,0.0755788,0.500097,-0.362735,-0.691631,0.104495,-0.0385836,0.713609,0.0677823,0.473933,0.0403922,-0.437029,0.0662163,0.0133433,0.896907,0.00228819,0.412097,-0.426011,0.0394102,0.0034208,0.626318,0.778563,
1785340219.681633,-3.70246,2.20105,-2.26178,0.156481,0.529381,-0.0331139,0.0755712,0.500087,-0.362755,-0.691706,0.104425,-0.0385265,0.71355,0.0677824,0.473937,0.0404037,-0.437099,0.0662323,0.0130612,0.896876,0.00227429,0.41205,-0.426024,0.0392011,0.00337399,0.626278,0.778606,
1785340219.691705,-3.68171,2.19295,-2.28157,0.156615,0.529534,-0.0336169,0.0755758,0.500084,-0.362759,-0.691805,0.104526,-0.0384311,0.713445,0.0677863,0.473949,0.0404135,-0.437081,0.0660965,0.0132233,0.896893,0.0018905,0.412052,-0.426053,0.0394399,0.00340149,0.624331,0.780156,
1785340219.701639,-3.65922,2.18462,-2.30782,0.156397,0.528043,-0.0332879,0.0755993,0.500077,-0.362776,-0.691844,0.104262,-0.0386936,0.713431,0.0677799,0.47397,0.0404124,-0.437199,0.0660169,0.0131754,0.896842,0.00189692,0.412037,-0.426062,0.0394103,0.0033779,0.624328,0.78016,
1785340219.711663,-3.62742,2.21231,-2.30831,0.156882,0.527089,-0.0335149,0.0756326,0.500078,-0.362785,-0.691883,0.10383,-0.0391265,0.713433,0.0677883,0.473958,0.0404205,-0.437048,0.0660907,0.0131983,0.896909,0.00230556,0.412003,-0.426016,0.0391876,0.00373374,0.626333,0.778561,
1785340219.721631,-3.64912,2.16153,-2.32847,0.157041,0.527436,-0.0336279,0.0756436,0.50008,-0.362782,-0.691946,0.104211,-0.0388111,0.713334,0.0677842,0.473971,0.0404166,-0.437198,0.0660116,0.0131667,0.896843,0.00232407,0.411983,-0.426031,0.0391487,0.00365636,0.626409,0.778502,
1785340219.731740,-3.63699,2.16331,-2.29629,0.157553,0.527937,-0.0336459,0.075652,0.50006,-0.36279,-0.692066,0.104125,-0.0389687,0.713221,0.0677987,0.473946,0.040419,-0.437075,0.0660798,0.0131842,0.896897,0.001952,0.411978,-0.426068,0.0393019,0.00360031,0.624421,0.78009,
1785340219.741630,-3.65708,2.20676,-2.30979,0.158559,0.528407,-0.0337749,0.0756602,0.500046,-0.362797,-0.69206,0.10408,-0.0390582,0.713228,0.0677972,0.473965,0.0404049,-0.43719,0.0661471,0.0132396,0.896836,0.0942708,0.468639,-0.453513,0.137376,0.989956,0.0333828,-0.000592405,
1785340219.751617,-3.68931,2.19196,-2.31617,0.158489,0.52937,-0.0340738,0.0756804,0.500034,-0.362801,-0.692074,0.104047,-0.0390756,0.713219,0.0678064,0.473943,0.040411,-0.437088,0.066099,0.0131889,0.89689,0.0942897,0.46863,-0.453522,0.137325,0.989966,0.0333153,-0.000582449,
1785340219.761633,-3.70748,2.23241,-2.34218,0.158966,0.529441,-0.0335149,0.0757047,0.500034,-0.362794,-0.692123,0.1047,-0.0385937,0.713102,0.0678023,0.473962,0.040403,-0.437209,0.066034,0.0131392,0.896836,0.0942959,0.468655,-0.453578,0.137048,0.990011,0.0330999,-0.000787164,
1785340219.771719,-3.70051,2.25934,-2.31104,0.160379,0.528881,-0.0341799,0.0757584,0.500021,-0.362791,-0.692178,0.10452,-0.0382683,0.713092,0.0678121,0.473937,0.0404095,-0.437093,0.0660475,0.0130441,0.896893,0.094321,0.468631,-0.453604,0.137128,0.989994,0.0332662,-0.000835932,
1785340219.781632,-3.62208,2.25475,-2.32483,0.160687,0.527426,-0.0343089,0.0757749,0.500017,-0.36279,-0.692194,0.104425,-0.0383255,0.713088,0.0678179,0.473956,0.0404087,-0.437202,0.0659821,0.0129605,0.896846,0.0943946,0.469271,-0.453681,0.133792,0.990431,0.0338353,-0.0012378,
1785340219.801631,-3.73278,2.25754,-2.35779,0.161317,0.528349,-0.0344399,0.0757928,0.50001,-0.362789,-0.692293,0.1043,-0.0384693,0.713002,0.0678232,0.473958,0.0404161,-0.437193,0.065997,0.0129515,0.896849,0.0943313,0.468547,-0.453687,0.137714,0.989905,0.0335026,-0.00107537,
1785340219.811739,-3.65965,2.30574,-2.36515,0.162074,0.526085,-0.0343819,0.0762029,0.500155,-0.362494,-0.694005,0.103287,-0.0351467,0.711656,0.0678208,0.473961,0.0404224,-0.437197,0.0659436,0.0129235,0.896852,0.0943478,0.468552,-0.453711,0.137535,0.989935,0.0333474,-0.00116361,
1785340219.821627,-3.59931,2.28812,-2.39184,0.161975,0.524069,-0.0345739,0.0762135,0.500148,-0.3625,-0.694041,0.103243,-0.0351491,0.711626,0.0678242,0.473962,0.0404265,-0.437189,0.0659754,0.0129172,0.896853,0.00278101,0.411556,-0.426335,0.0383738,0.00214024,0.629202,0.776291,
1785340219.831749,-3.67243,2.27614,-2.39923,0.162598,0.523847,-0.0348948,0.0758693,0.499948,-0.362886,-0.692193,0.103531,-0.03835,0.713218,0.0678437,0.473937,0.0404449,-0.437011,0.0660615,0.0129963,0.896933,0.00292113,0.411508,-0.42621,0.0386526,0.0035644,0.62935,0.776152,
1785340219.841630,-3.65052,2.28285,-2.41264,0.163234,0.524615,-0.0349929,0.0758759,0.49993,-0.362902,-0.69225,0.103443,-0.0383802,0.713174,0.06784,0.473956,0.0404399,-0.437128,0.0659709,0.0129225,0.896884,0.00292432,0.411486,-0.426227,0.0386583,0.00355089,0.629216,0.77626,
1785340219.851677,-3.71531,2.32597,-2.42621,0.164672,0.526559,-0.0351819,0.075887,0.499889,-0.362928,-0.692359,0.10355,-0.0380146,0.713072,0.0678462,0.473955,0.0404403,-0.437225,0.0658753,0.0130618,0.896841,0.00311591,0.411367,-0.426247,0.0379272,0.00309194,0.63007,0.775606,
1785340219.861633,-3.70904,2.36772,-2.39377,0.165572,0.527875,-0.0350609,0.0758905,0.499858,-0.362975,-0.69217,0.103536,-0.0387672,0.713217,0.0678506,0.473959,0.0404305,-0.437186,0.0659707,0.0128914,0.896856,0.0945523,0.468498,-0.453965,0.13563,0.990269,0.0311004,-0.00199139,
1785340219.871660,-3.73156,2.28455,-2.45921,0.165487,0.529594,-0.0350258,0.0759003,0.499829,-0.363005,-0.692305,0.103442,-0.0393666,0.713066,0.0678635,0.473937,0.0404351,-0.43717,0.0659262,0.0130234,0.896865,0.00321549,0.411241,-0.426285,0.0372956,0.00311667,0.630318,0.775435,
1785340219.881747,-3.76563,2.3414,-2.40795,0.167403,0.531597,-0.0349239,0.0758317,0.499614,-0.363275,-0.69168,0.103692,-0.0393302,0.713638,0.0678735,0.47395,0.0404226,-0.437301,0.0658672,0.0129728,0.896806,0.0947374,0.468159,-0.453826,0.136546,0.990117,0.0320026,-0.000188572,
1785340219.891744,-3.72706,2.34706,-2.40219,0.168453,0.53269,-0.0350358,0.0759598,0.499672,-0.363092,-0.692735,0.103443,-0.0386366,0.712689,0.0678845,0.473927,0.0404268,-0.437176,0.0658887,0.0129497,0.896866,0.0947627,0.468085,-0.453834,0.136599,0.990108,0.0320568,2.75445e-05,
1785340219.901667,-3.77779,2.32463,-2.41542,0.169028,0.535097,-0.0351469,0.0763931,0.499797,-0.36281,-0.694733,0.10218,-0.0355607,0.711084,0.0678875,0.473947,0.0404186,-0.437318,0.0658752,0.0129308,0.896798,0.0947656,0.468039,-0.454007,0.13617,0.990197,0.0311126,-0.000781474,
1785340219.911771,-3.82693,2.32257,-2.41574,0.169875,0.537117,-0.0348679,0.0763995,0.499749,-0.362868,-0.694735,0.102121,-0.0355463,0.711091,0.0678984,0.473927,0.0404278,-0.43727,0.0658589,0.0130013,0.896821,0.0949731,0.468827,-0.454042,0.130997,0.990899,0.0309353,-0.00106472,
1785340219.921629,-3.82,2.38776,-2.40961,0.171081,0.538055,-0.0353649,0.076039,0.499523,-0.36325,-0.693099,0.10267,-0.0385935,0.712449,0.0679021,0.473923,0.0404265,-0.437186,0.0659226,0.0129328,0.896858,0.0950318,0.46896,-0.453813,0.129492,0.991046,0.0325528,0.000864318,
1785340219.931747,-3.77291,2.3606,-2.4165,0.171098,0.537552,-0.0350239,0.07603,0.499455,-0.363334,-0.693268,0.102513,-0.0387488,0.712298,0.0678962,0.473949,0.0404259,-0.437387,0.0657867,0.0129457,0.89677,0.00279218,0.410945,-0.426708,0.0366451,0.00182052,0.625869,0.779064,
1785340219.941749,-3.78696,2.44376,-2.41744,0.172994,0.538092,-0.0351269,0.0760217,0.499426,-0.363368,-0.693384,0.10243,-0.0387182,0.712199,0.0679015,0.473925,0.040432,-0.437183,0.0659051,0.0129328,0.896861,0.00314743,0.41087,-0.426703,0.0363071,0.00205528,0.627645,0.77765,
1785340219.951750,-3.82066,2.41541,-2.43726,0.173367,0.539818,-0.0354949,0.0760383,0.499378,-0.363427,-0.693533,0.102269,-0.0383887,0.712095,0.0679039,0.473927,0.0404338,-0.437274,0.0658755,0.0129985,0.896818,0.00256528,0.410859,-0.426754,0.036358,0.002097,0.624769,0.77996,
1785340219.961753,-3.84858,2.40373,-2.43776,0.174331,0.541988,-0.0352149,0.0760307,0.49935,-0.363462,-0.693669,0.102611,-0.0380492,0.711931,0.0679027,0.47393,0.0404349,-0.43726,0.0658615,0.0130031,0.896826,0.00282027,0.410677,-0.426886,0.0354881,0.00104349,0.626457,0.778647,
1785340219.971756,-3.79919,2.49326,-2.44472,0.175489,0.541228,-0.0352579,0.0760221,0.499314,-0.363505,-0.693784,0.102589,-0.038073,0.711821,0.067901,0.473931,0.0404352,-0.437256,0.0658616,0.012992,0.896828,0.0950165,0.4679,-0.45384,0.132888,0.990596,0.0324477,0.00278836,
1785340219.981751,-3.75796,2.37666,-2.40555,0.173907,0.540028,-0.0350759,0.0760223,0.499192,-0.363597,-0.694383,0.10202,-0.0381881,0.711312,0.0678888,0.473946,0.040421,-0.437311,0.0658412,0.0129073,0.896804,0.0950995,0.468383,-0.453987,0.128952,0.991145,0.0315964,0.00231774,
1785340219.991751,-3.78648,2.45323,-2.31498,0.176005,0.542726,-0.0347428,0.0760068,0.499157,-0.363671,-0.694317,0.101885,-0.0383684,0.711387,0.0678983,0.473921,0.0404208,-0.4372,0.065914,0.0129502,0.896852,0.0949626,0.467613,-0.454126,0.133162,0.990594,0.0314201,0.00191739,
1785340220.001750,-3.8034,2.38402,-2.32764,0.175043,0.543142,-0.0347319,0.0759931,0.499125,-0.363708,-0.694375,0.101821,-0.0384131,0.711337,0.0679007,0.473921,0.0404169,-0.437292,0.0658748,0.012993,0.89681,0.0949392,0.467528,-0.454207,0.133239,0.9906,0.0309288,0.0016804,
1785340220.011747,-3.77561,2.39117,-2.29421,0.174307,0.543223,-0.0346519,0.0759747,0.499086,-0.363744,-0.694459,0.101849,-0.0383464,0.711255,0.0678983,0.473918,0.04041,-0.437299,0.06588,0.0130104,0.896806,0.0949316,0.467475,-0.454246,0.133253,0.990605,0.0307087,0.00162972,
1785340220.021751,-3.80593,2.40034,-2.27454,0.174611,0.544421,-0.0343919,0.0759598,0.499058,-0.363779,-0.694504,0.101781,-0.0384026,0.711217,0.0678963,0.473915,0.0404055,-0.437302,0.0658879,0.013019,0.896803,0.00357595,0.409878,-0.427182,0.0345976,0.00100093,0.632057,0.774149,
1785340220.031751,-3.78683,2.37793,-2.25583,0.175249,0.54472,-0.0343938,0.0759123,0.498975,-0.363867,-0.694785,0.101592,-0.0382841,0.710976,0.0678839,0.473917,0.0404016,-0.437311,0.065873,0.0130356,0.8968,0.00361168,0.409776,-0.427167,0.034547,0.00154702,0.632279,0.773968,
1785340220.041661,-3.73362,2.39282,-2.24283,0.175238,0.54416,-0.0347719,0.0758938,0.498951,-0.3639,-0.694804,0.101548,-0.0383207,0.710962,0.067879,0.473916,0.0403996,-0.437209,0.0659822,0.0129017,0.896844,0.00424864,0.409492,-0.427134,0.033246,0.00225004,0.637002,0.770141,
1785340220.051669,-3.78083,2.41908,-2.26271,0.175727,0.54379,-0.0348759,0.0758768,0.498935,-0.363922,-0.694852,0.101527,-0.03831,0.710918,0.0678762,0.473918,0.0404041,-0.437214,0.0659066,0.0129738,0.896846,0.00423945,0.409457,-0.427148,0.0331877,0.0022752,0.637015,0.770134,
1785340220.061754,-3.75488,2.33524,-2.24962,0.174757,0.543503,-0.0346279,0.0758622,0.49892,-0.363943,-0.694904,0.101488,-0.0383091,0.710874,0.0678733,0.473919,0.0404053,-0.437104,0.0660109,0.0128443,0.896893,0.00423527,0.409421,-0.427169,0.0331779,0.00226572,0.637041,0.770112,
1785340220.071754,-3.7702,2.38399,-2.24972,0.17545,0.544048,-0.0349269,0.0758546,0.498906,-0.363961,-0.694969,0.101432,-0.0382939,0.710819,0.0678751,0.473923,0.0404098,-0.437205,0.0659163,0.012996,0.896849,0.00429329,0.409375,-0.427087,0.0332361,0.00310816,0.637278,0.769911,
1785340220.081748,-3.76241,2.36574,-2.27617,0.175353,0.542838,-0.0349219,0.0758503,0.498878,-0.363998,-0.695049,0.101411,-0.0383415,0.710741,0.0678705,0.47394,0.0404051,-0.43733,0.0658544,0.0129507,0.896793,0.00425525,0.409334,-0.427104,0.0328665,0.00306471,0.637037,0.770126,
1785340220.091744,-3.78671,2.40369,-2.25654,0.175725,0.543103,-0.0348719,0.075881,0.498877,-0.364006,-0.695161,0.10114,-0.0386634,0.710653,0.0678786,0.473923,0.0404114,-0.437204,0.0659232,0.0129975,0.896849,0.00422962,0.409319,-0.427106,0.0329176,0.00319629,0.636855,0.770274,
1785340220.101755,-3.73859,2.31395,-2.26254,0.174048,0.542202,-0.0350359,0.0758381,0.498871,-0.364037,-0.695127,0.101415,-0.0391064,0.710622,0.0678807,0.473921,0.0404104,-0.437195,0.0659152,0.0129756,0.896854,0.00423448,0.409304,-0.427108,0.0328665,0.00324904,0.636859,0.770273,
