timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,knee_x, knee_y, knee_z,knee_qx, knee_qy, knee_qz, knee_qw
1745832306.967233,-3.76604,-5.59609,2.32788,-2.27752,-3.55152,3.65305,-0.0693318,-0.00148855,0.556588,0.117093,0.956219,-0.0908222,0.252361,0.730576,-0.227004,0.700726,0.0464853,0.981129,0.0204497,-0.186564,0.128959,-0.0642851,0.499472,0.117093,0.956219,-0.0908222,0.252361,
1745832306.977219,-4.08244,-5.46532,2.31825,-2.25281,-3.46013,3.44436,-0.0693381,-0.00149701,0.556562,0.117062,0.956186,-0.0908781,0.252481,0.731743,-0.224866,0.69849,0.0830549,0.981858,0.0293627,-0.16791,0.128969,-0.0642936,0.499501,0.117062,0.956186,-0.0908781,0.252481,
1745832306.987242,-3.76962,-5.62257,2.33599,-2.28999,-3.55596,3.66905,-0.0693612,-0.00145832,0.556544,0.116835,0.956212,-0.0911922,0.252375,0.730577,-0.227006,0.700719,0.0465072,0.981123,0.020468,-0.186588,0.128943,-0.0642421,0.49946,0.116835,0.956212,-0.0911922,0.252375,
1745832306.997120,-4.04497,-5.46124,2.34785,-2.22855,-3.42965,3.4666,-0.0693327,-0.00149368,0.556578,0.117051,0.956214,-0.0908438,0.252392,0.731758,-0.22515,0.698149,0.0818155,0.982403,0.0284639,-0.165471,0.128966,-0.0642797,0.499476,0.117051,0.956214,-0.0908438,0.252392,
1745832307.007149,-3.78036,-5.59237,2.33909,-2.27157,-3.55979,3.65001,-0.0693375,-0.00149427,0.556573,0.117047,0.956209,-0.0908983,0.252394,0.730562,-0.227019,0.700727,0.0464706,0.981176,0.0205362,-0.186312,0.128959,-0.0642904,0.499477,0.117047,0.956209,-0.0908983,0.252394,
1745832307.017118,-4.09494,-5.40249,2.31163,-2.23746,-3.43973,3.38648,-0.0693367,-0.00149469,0.556582,0.117095,0.956223,-0.090802,0.252351,0.731749,-0.224608,0.698519,0.086119,0.981622,0.0300026,-0.167638,0.128954,-0.0642878,0.499461,0.117095,0.956223,-0.090802,0.252351,
1745832307.027276,-4.14522,-5.41794,2.40639,-2.26949,-3.47653,3.43745,-0.0693543,-0.00174094,0.55704,0.116547,0.957273,-0.0848848,0.250679,0.73181,-0.224963,0.698423,0.0842721,0.981446,0.0296982,-0.169645,0.129042,-0.0630743,0.498712,0.116547,0.957273,-0.0848848,0.250679,
1745832307.037215,-3.76787,-5.6313,2.36364,-2.29888,-3.55628,3.66989,-0.0693338,-0.00149005,0.556584,0.117108,0.956222,-0.0907204,0.252378,0.730566,-0.226999,0.700672,0.0459297,0.980969,0.0211258,-0.187468,0.128962,-0.0642701,0.499466,0.117108,0.956222,-0.0907204,0.252378,
1745832307.047145,-4.09353,-5.3746,2.382,-2.22828,-3.44237,3.43928,-0.0693568,-0.00174347,0.557044,0.116578,0.957268,-0.0848219,0.250704,0.731775,-0.224892,0.698506,0.0831201,0.982105,0.0283021,-0.166613,0.129042,-0.0630741,0.498722,0.116578,0.957268,-0.0848219,0.250704,
1745832307.057157,-4.08483,-5.46933,2.33403,-2.24248,-3.44451,3.45231,-0.0693592,-0.00146498,0.556551,0.116801,0.956219,-0.0911835,0.252366,0.731708,-0.224808,0.698355,0.0842765,0.982172,0.02928,-0.165467,0.128948,-0.0642347,0.499462,0.116801,0.956219,-0.0911835,0.252366,
1745832307.067250,-3.76905,-5.61386,2.36539,-2.28647,-3.54832,3.66611,-0.0693336,-0.00149372,0.556574,0.117062,0.956214,-0.090845,0.252388,0.730561,-0.227017,0.700723,0.0465612,0.981172,0.0205105,-0.186314,0.128963,-0.0642838,0.49947,0.117062,0.956214,-0.090845,0.252388,
1745832307.077149,-3.83395,-5.59073,2.43801,-2.30126,-3.57196,3.69508,-0.0693744,-0.00178667,0.557052,0.116288,0.957315,-0.0840559,0.250917,0.730579,-0.227007,0.700725,0.0464943,0.981137,0.0204644,-0.186519,0.129115,-0.0628472,0.498754,0.116288,0.957315,-0.0840559,0.250917,
