timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,sensor_x, sensor_y, sensor_z,sensor_qx, sensor_qy, sensor_qz, sensor_qw
1785334309.820756,-0.114998,0.0217896,0.000136375,0.000367761,0.00150728,-0.000246823,0.0851038,0.120111,-0.325211,0.984593,0.0784246,0.000597623,0.15629,0.0675028,0.473507,0.0386851,-0.438962,0.0675014,0.014566,0.895848,0.0460726,0.0818851,-0.206102,0.612594,-0.514451,-0.468435,-0.375017,
1785334309.830750,-0.00208282,0.0514069,0.00697541,-8.22544e-05,-0.000185609,-0.000321865,0.0851047,0.120121,-0.325208,0.984591,0.0782843,0.000464897,0.156372,0.0674966,0.473509,0.0386849,-0.438965,0.0675171,0.0145986,0.895845,0.0460702,0.0818878,-0.206103,0.612592,-0.51444,-0.468393,-0.375087,
1785334309.840674,0.0302887,0.0257568,0.0126085,0.000453711,-0.000403643,-0.000326812,0.0851467,0.120211,-0.325217,0.984512,0.0780015,4.93173e-05,0.157008,0.067489,0.473511,0.0386857,-0.438956,0.0675178,0.0146421,0.895848,0.0460654,0.081886,-0.206103,0.612599,-0.514417,-0.468427,-0.375066,
1785334309.850748,0.0207977,0.0196686,0.0454066,0.000244617,-5.17368e-05,-0.000316858,0.0851431,0.120207,-0.325223,0.984514,0.0781765,0.000150563,0.156913,0.0674816,0.473512,0.0386869,-0.438963,0.0674987,0.0146372,0.895847,0.0460789,0.0819273,-0.206104,0.612828,-0.514412,-0.468505,-0.374599,
1785334309.860752,-0.0150909,-0.0146332,0.0198822,-0.000441313,0.000443339,6.19888e-06,0.0851835,0.120225,-0.325217,0.984432,0.0790338,-5.30036e-06,0.156994,0.0674815,0.473513,0.0386843,-0.438943,0.0676294,0.014725,0.895845,0.0460903,0.0819355,-0.206105,0.612824,-0.514453,-0.468452,-0.374617,
1785334309.870751,-0.0052948,0.00782776,-0.0064764,-0.000144243,-0.000282645,-0.0003649,0.0851445,0.120139,-0.325208,0.984502,0.0793829,0.000416421,0.156375,0.0674851,0.473512,0.0386889,-0.438965,0.0674907,0.0145994,0.895847,0.0460844,0.0819269,-0.206105,0.612865,-0.514394,-0.46848,-0.374594,
1785334309.890756,-0.0309677,0.00997925,-0.0129108,-4.52995e-05,0.000113249,-1.58548e-05,0.0851584,0.12015,-0.325192,0.984519,0.078947,0.000429561,0.15649,0.0674984,0.473509,0.0386882,-0.438953,0.0675096,0.0145895,0.895852,0.0463319,0.0820483,-0.206102,0.611411,-0.516426,-0.466278,-0.376916,
1785334309.900684,-0.0173416,0.016037,-0.00648856,0.000153661,0.000220299,0.000139117,0.0852253,0.120241,-0.325239,0.984504,0.076717,0.000777197,0.157691,0.0675013,0.473508,0.0386875,-0.438966,0.0675046,0.0145736,0.895846,0.0463262,0.0820353,-0.206107,0.611274,-0.516298,-0.466324,-0.377257,
1785334309.910756,-0.0137253,0.0771027,0.00652313,0.000819564,0.000317335,0.000153124,0.0852154,0.120135,-0.325224,0.984653,0.0762348,0.00130485,0.156987,0.0674981,0.473508,0.0386795,-0.438964,0.0675125,0.0145885,0.895846,0.0463496,0.0820047,-0.206093,0.611198,-0.51648,-0.466139,-0.37736,
1785334309.920757,0.00357819,0.00187683,-0.000240326,0.000156641,-0.000251651,0.000221074,0.0852109,0.120151,-0.325228,0.984612,0.0765078,0.00144511,0.157113,0.0674903,0.473515,0.0386703,-0.439013,0.0674858,0.0146121,0.895823,0.0463584,0.0819963,-0.206087,0.611403,-0.516261,-0.466407,-0.376996,
1785334309.930768,0.0280838,0.0374146,0.00628734,0.000427604,-0.000630617,0.000339091,0.0852253,0.120128,-0.325232,0.984653,0.0761695,0.00146507,0.157015,0.067487,0.473508,0.0386763,-0.438967,0.0674936,0.0145923,0.895846,0.0464415,0.0821074,-0.206122,0.611507,-0.516709,-0.466636,-0.375929,
